iata_code,type,name,scheduled_service
PCT,small_airport,Princeton Airport,no
CTO,small_airport,Calverton Executive Airpark,no
NRI,small_airport,Grand Lake Regional Airport,no
GTP,small_airport,Grants Pass Airport,no
NLE,small_airport,Jerry Tyler Memorial Airport,no
GCD,small_airport,Grand Coulee Dam Airport,no
VLE,small_airport,Valle Airport,no
FPY,small_airport,Perry-Foley Airport,no
NTJ,small_airport,Manti-Ephraim Airport,no
SBO,small_airport,Salina Gunnison Airport,no
JVI,small_airport,Central Jersey Regional Airport,no
UCE,small_airport,Eunice Airport,no
GOL,small_airport,Gold Beach Municipal Airport,no
KKT,small_airport,Kentland Municipal Airport,no
PRW,small_airport,Prentice Airport,no
EGP,small_airport,Maverick County Memorial International Airport,no
BLD,medium_airport,Boulder City Municipal Airport,yes
MFH,medium_airport,Mesquite Airport,no
ECA,small_airport,Iosco County Airport,no
FMU,small_airport,Florence Municipal Airport,no
OTS,small_airport,Anacortes Airport,yes
ROL,small_airport,Roosevelt Municipal Airport,no
CTK,small_airport,Canton Municipal Airport,no
WPO,small_airport,North Fork Valley Airport,no
ATE,small_airport,Antlers Municipal Airport,no
ASQ,small_airport,Austin Airport,no
AAF,small_airport,Apalachicola Regional Airport,no
ABE,medium_airport,Lehigh Valley International Airport,yes
ABI,medium_airport,Abilene Regional Airport,yes
ABQ,large_airport,Albuquerque International Sunport,yes
ABR,medium_airport,Aberdeen Regional Airport,yes
ABY,medium_airport,Southwest Georgia Regional Airport,yes
ACB,small_airport,Antrim County Airport,no
ACK,medium_airport,Nantucket Memorial Airport,yes
ACT,medium_airport,Waco Regional Airport,yes
ACV,medium_airport,California Redwood Coast-Humboldt County Airport,yes
ACY,medium_airport,Atlantic City International Airport,yes
ADG,small_airport,Lenawee County Airport,no
ADT,medium_airport,Ada Regional Airport,no
ADM,small_airport,Ardmore Municipal Airport,no
ADS,small_airport,Addison Airport,no
ADW,large_airport,Joint Base Andrews,no
KAE,seaplane_base,Kake Seaplane Base,yes
AEL,small_airport,Albert Lea Municipal Airport,no
AEX,medium_airport,Alexandria International Airport,yes
KAF,small_airport,Karato Airport,no
AFF,small_airport,USAF Academy Airfield,no
WSG,small_airport,Washington County Airport,no
AFN,small_airport,Jaffrey Airfield Silver Ranch Airport,no
AFO,small_airport,Afton Municipal Airport,no
AFW,medium_airport,Perot Field/Fort Worth Alliance Airport,no
AGC,medium_airport,Allegheny County Airport,no
AGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,no
AGS,medium_airport,Augusta Regional At Bush Field,yes
AHC,small_airport,Amedee Army Air Field,no
AHH,small_airport,Amery Municipal Airport,no
AHN,medium_airport,Athens Ben Epps Airport,no
AIA,medium_airport,Alliance Municipal Airport,yes
AID,small_airport,Anderson Municipal Darlington Field,no
AIK,small_airport,Aiken Regional Airport,no
AIO,small_airport,Atlantic Municipal Airport,no
AIV,small_airport,George Downer Airport,no
AIZ,small_airport,Lee C Fine Memorial Airport,no
KAK,small_airport,Kar Airport,no
AKO,small_airport,Colorado Plains Regional Airport,no
AKC,medium_airport,Akron Fulton International Airport,no
ALB,medium_airport,Albany International Airport,yes
ALI,medium_airport,Alice International Airport,no
ALM,medium_airport,Alamogordo White Sands Regional Airport,no
ALN,medium_airport,St Louis Regional Airport,no
ALO,medium_airport,Waterloo Regional Airport,yes
ALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,yes
ALW,medium_airport,Walla Walla Regional Airport,yes
ALX,small_airport,Thomas C Russell Field,no
AMA,medium_airport,Rick Husband Amarillo International Airport,yes
AMN,small_airport,Gratiot Community Airport,no
AMW,small_airport,Ames Municipal Airport,no
ANB,medium_airport,Anniston Regional Airport,no
AND,medium_airport,Anderson Regional Airport,no
SLT,small_airport,Salida Airport - Harriet Alexander Field,no
ANP,small_airport,Lee Airport,no
ANQ,small_airport,Tri State Steuben County Airport,no
ANW,small_airport,Ainsworth Regional Airport,no
ANY,small_airport,Anthony Municipal Airport,no
AOH,small_airport,Lima Allen County Airport,no
AOO,medium_airport,Altoona Blair County Airport,yes
APA,medium_airport,Centennial Airport,no
APC,small_airport,Napa County Airport,no
APF,medium_airport,Naples Municipal Airport,no
APG,medium_airport,Phillips Army Air Field,no
APH,small_airport,Mary Walker LZ Airport,no
APN,medium_airport,Alpena County Regional Airport,yes
APT,small_airport,Marion County Airport - Brown Field,no
APV,small_airport,Apple Valley Airport,no
ARA,medium_airport,Acadiana Regional Airport,no
ARB,small_airport,Ann Arbor Municipal Airport,no
ARG,small_airport,Walnut Ridge Regional Airport,no
WHT,small_airport,Wharton Regional Airport,no
AUZ,small_airport,Aurora Municipal Airport,no
ART,medium_airport,Watertown International Airport,yes
ARV,small_airport,Lakeland Airport Noble F Lee Memorial Field,no
BFT,small_airport,Beaufort Executive Airport,no
ASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),yes
SPZ,small_airport,Springdale Municipal Airport,no
ASH,small_airport,Nashua Airport / Boire Field,no
ASL,small_airport,Harrison County Airport,no
ASN,small_airport,Talladega Municipal Airport,no
AST,medium_airport,Astoria Regional Airport,no
ASX,small_airport,John F Kennedy Memorial Airport,no
ASY,small_airport,Ashley Municipal Airport,no
ATL,large_airport,Hartsfield Jackson Atlanta International Airport,yes
ATS,small_airport,Artesia Municipal Airport,no
ATW,medium_airport,Appleton International Airport,yes
ATY,medium_airport,Watertown Regional Airport,yes
AUG,medium_airport,Augusta State Airport,yes
AUM,small_airport,Austin Municipal Airport,no
AUN,small_airport,Auburn Municipal Airport,no
AUO,small_airport,Auburn University Regional Airport,no
AUS,large_airport,Austin Bergstrom International Airport,yes
AUW,medium_airport,Wausau Downtown Airport,no
AVL,medium_airport,Asheville Regional Airport,yes
AVO,small_airport,Avon Park Executive Airport,no
AVP,medium_airport,Wilkes Barre Scranton International Airport,yes
AVW,small_airport,Marana Regional Airport,no
AVX,small_airport,Catalina Airport,no
AWM,small_airport,West Memphis Municipal Airport,no
AXG,small_airport,Algona Municipal Airport,no
AXN,medium_airport,Chandler Field,no
AXS,small_airport,Altus Quartz Mountain Regional Airport,no
AXV,small_airport,Neil Armstrong Airport,no
AXX,small_airport,Angel Fire Airport,no
AYS,small_airport,Waycross Ware County Airport,no
TUH,small_airport,Arnold Air Force Base,no
AZO,medium_airport,Kalamazoo Battle Creek International Airport,yes
BAB,medium_airport,Beale Air Force Base,no
BAD,medium_airport,Barksdale Air Force Base,no
BAF,medium_airport,Westfield-Barnes Regional Airport,no
CLU,medium_airport,Columbus Municipal Airport,no
BAM,small_airport,Battle Mountain Airport,no
BBB,small_airport,Benson Municipal Airport,no
BBD,medium_airport,Curtis Field,no
BKG,medium_airport,Branson Airport,yes
BTN,small_airport,Marlboro County Jetport - H E Avent Field Airport,no
BBW,small_airport,Broken Bow Municipal Airport,no
BCB,small_airport,Virginia Tech Montgomery Executive Airport,no
BCE,medium_airport,Bryce Canyon Airport,no
BCT,medium_airport,Boca Raton Airport,no
BDE,medium_airport,Baudette International Airport,no
BDG,small_airport,Blanding Municipal Airport,no
ILL,small_airport,Willmar Municipal Airport John L Rice Field (2006),no
BDL,large_airport,Bradley International Airport,yes
BDR,medium_airport,Igor I Sikorsky Memorial Airport,no
WBU,small_airport,Boulder Municipal Airport,no
KBE,seaplane_base,Bell Island Hot Springs Seaplane Base,no
BEC,small_airport,Beech Factory Airport,no
BED,medium_airport,Laurence G Hanscom Field,yes
BEH,small_airport,Southwest Michigan Regional Airport,no
BFD,medium_airport,Bradford Regional Airport,yes
BFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,yes
BFI,medium_airport,Boeing Field King County International Airport,yes
BFL,medium_airport,Meadows Field,yes
BFM,medium_airport,Mobile Downtown Airport,no
BFR,small_airport,Virgil I Grissom Municipal Airport,no
BGD,small_airport,Hutchinson County Airport,no
BGE,small_airport,Decatur County Industrial Air Park,no
BGM,medium_airport,Greater Binghamton/Edwin A Link field,yes
BGR,medium_airport,Bangor International Airport,yes
KBH,small_airport,Kahama Airstrip,no
BHB,medium_airport,Hancock County-Bar Harbor Airport,yes
BHM,medium_airport,Birmingham-Shuttlesworth International Airport,yes
BID,small_airport,Block Island State Airport,yes
BIE,small_airport,Beatrice Municipal Airport,no
BIF,medium_airport,Biggs Army Air Field (Fort Bliss),no
BIH,medium_airport,Eastern Sierra Regional Airport,yes
BIL,medium_airport,Billings Logan International Airport,yes
BIS,medium_airport,Bismarck Municipal Airport,yes
BIX,medium_airport,Keesler Air Force Base,no
BJC,medium_airport,Rocky Mountain Metropolitan Airport,yes
BJI,medium_airport,Bemidji Regional Airport,no
BJJ,small_airport,Wayne County Airport,no
BKD,small_airport,Stephens County Airport,no
BKE,medium_airport,Baker City Municipal Airport,no
BFK,medium_airport,Buckley Space Force Base,no
BKL,medium_airport,Burke Lakefront Airport,no
BKT,small_airport,Allen C Perkinson Blackstone Army Air Field,no
BKW,medium_airport,Raleigh County Memorial Airport,yes
BKX,small_airport,Brookings Regional Airport,no
BLF,medium_airport,Mercer County Airport,no
BLH,medium_airport,Blythe Airport,no
BLI,medium_airport,Bellingham International Airport,yes
BLM,small_airport,Monmouth Executive Airport,no
BLU,small_airport,Blue Canyon Nyack Airport,no
BLV,medium_airport,Scott AFB/Midamerica Airport,yes
BMC,small_airport,Brigham City Regional Airport,no
BMG,medium_airport,Monroe County Airport,no
BMI,medium_airport,Central Illinois Regional Airport at Bloomington-Normal,yes
BML,small_airport,Berlin Regional Airport,no
BMT,small_airport,Beaumont Municipal Airport,no
BNA,large_airport,Nashville International Airport,yes
BNG,small_airport,Banning Municipal Airport,no
BNL,small_airport,Barnwell Regional Airport,no
BNO,medium_airport,Burns Municipal Airport,no
BNW,small_airport,Boone Municipal Airport,no
BOI,medium_airport,Boise Air Terminal/Gowen Field,yes
BOK,small_airport,Brookings Airport,no
BOS,large_airport,Logan International Airport,yes
BOW,small_airport,Bartow Executive Airport,no
HCA,small_airport,Big Spring Mc Mahon-Wrinkle Airport,no
BPI,medium_airport,Miley Memorial Field,no
WMH,medium_airport,Ozark Regional Airport,no
BPT,medium_airport,Jack Brooks Regional Airport,yes
BQK,medium_airport,Brunswick Golden Isles Airport,yes
BRD,medium_airport,Brainerd Lakes Regional Airport,yes
BRL,medium_airport,Southeast Iowa Regional Airport,yes
BRO,medium_airport,Brownsville South Padre Island International Airport,yes
BRY,small_airport,Samuels Field,no
KBT,small_airport,Kaben Airport,no
BTF,small_airport,Skypark Airport,no
BTL,medium_airport,Battle Creek Executive Airport at Kellogg Field,no
BTM,medium_airport,Bert Mooney Airport,yes
TTO,small_airport,Britton Municipal Airport,no
BTP,small_airport,Pittsburgh/Butler Regional Airport,no
BTR,medium_airport,Baton Rouge Metropolitan Airport,yes
BTV,medium_airport,Burlington International Airport,yes
BTY,small_airport,Beatty Airport,no
BUB,small_airport,Cram Field,no
BUF,large_airport,Buffalo Niagara International Airport,yes
BUM,small_airport,Butler Memorial Airport,no
BUR,medium_airport,Hollywood Burbank Airport,yes
BFP,medium_airport,Beaver County Airport,no
BVO,small_airport,Bartlesville Municipal Airport,no
MVW,small_airport,Skagit Regional Airport,no
BVX,small_airport,Batesville Regional Airport,no
BVY,medium_airport,Beverly Regional Airport,no
BWC,small_airport,Brawley Municipal Airport,no
BWD,small_airport,Brownwood Regional Airport,no
BWG,medium_airport,Bowling Green Warren County Regional Airport,no
BWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,yes
WAH,small_airport,Harry Stern Airport,no
BWM,small_airport,Bowman Regional Airport,no
BXA,small_airport,George R Carr Memorial Air Field,no
BXK,small_airport,Buckeye Municipal Airport,no
NHZ,medium_airport,Brunswick Executive Airport,no
BYG,small_airport,Johnson County Airport,no
BYH,medium_airport,Arkansas International Airport,no
BYI,medium_airport,Burley Municipal Airport,no
BYS,medium_airport,Bicycle Lake Army Air Field,no
BBC,small_airport,Bay City Regional Airport,no
BZN,medium_airport,Bozeman Yellowstone International Airport,yes
XES,small_airport,Grand Geneva Resort Airport,no
PLY,small_airport,Plymouth Municipal Airport,no
CLG,small_airport,New Coalinga Municipal Airport,no
CAD,small_airport,Wexford County Airport,no
CAE,medium_airport,Columbia Metropolitan Airport,yes
CIG,small_airport,Craig Moffat Airport,no
CAK,medium_airport,Akron Canton Regional Airport,yes
CAO,small_airport,Clayton Municipal Airpark,no
CAR,medium_airport,Caribou Municipal Airport,no
CBE,small_airport,Greater Cumberland Regional Airport,no
CBF,small_airport,Council Bluffs Municipal Airport,no
CBK,small_airport,Shalz Field,no
CBM,medium_airport,Columbus Air Force Base,no
KCC,seaplane_base,Coffman Cove Seaplane Base,yes
CCB,small_airport,Upland-Cable Airport,no
CCR,medium_airport,Buchanan Field,yes
CCY,medium_airport,Northeast Iowa Regional Airport,no
LLX,small_airport,Caledonia County Airport,no
CDC,medium_airport,Cedar City Regional Airport,yes
CDH,small_airport,Harrell Field,no
CDK,small_airport,George T Lewis Airport,no
CDN,small_airport,Woodward Field,no
CDR,medium_airport,Chadron Municipal Airport,yes
CDS,medium_airport,Childress Municipal Airport,no
CDW,small_airport,Essex County Airport,no
CEA,small_airport,Cessna Aircraft Field,no
CEC,medium_airport,Jack Mc Namara Field Airport,yes
CEF,medium_airport,Westover Metropolitan Airport / Westover Air Reserve Base,no
CEU,small_airport,Oconee County Regional Airport,no
CEV,small_airport,Mettel Field,no
CEW,medium_airport,Bob Sikes Airport,no
CEY,small_airport,Murray-Calloway County Airport Kyle-Oakley Field,no
CEZ,medium_airport,Cortez Municipal Airport,yes
CFD,small_airport,Coulter Field,no
TZC,small_airport,Tuscola Area Airport,no
CFT,small_airport,Greenlee County Airport,no
CFV,small_airport,Coffeyville Municipal Airport,no
CGE,small_airport,Cambridge Dorchester Airport,no
CGF,medium_airport,Cuyahoga County Airport,no
CGI,medium_airport,Cape Girardeau Regional Airport,yes
CGS,small_airport,College Park Airport,no
CGZ,small_airport,Casa Grande Municipal Airport,no
CHA,medium_airport,Chattanooga Metropolitan Airport (Lovell Field),yes
CHK,small_airport,Chickasha Municipal Airport,no
CHO,medium_airport,Charlottesville Albemarle Airport,yes
CHS,medium_airport,Charleston International Airport,yes
CIC,small_airport,Chico Regional Airport,no
CID,medium_airport,The Eastern Iowa Airport,yes
CIN,small_airport,Arthur N Neu Airport,no
CIR,small_airport,Cairo Regional Airport,no
CIU,medium_airport,Chippewa County International Airport,yes
CKA,small_airport,Kegelman AF Aux Field,no
CKB,medium_airport,North Central West Virginia Airport,yes
GRM,small_airport,Grand Marais Cook County Airport,no
CKM,small_airport,Fletcher Field,no
CKN,small_airport,Crookston Municipal Kirkwood Field,no
CKV,small_airport,Clarksville–Montgomery County Regional Airport,no
KCL,small_airport,Chignik Lagoon Airport,no
CLE,large_airport,Cleveland Hopkins International Airport,yes
CLI,small_airport,Clintonville Municipal Airport,no
CLK,small_airport,Clinton Regional Airport,no
CLL,medium_airport,Easterwood Field,yes
CLM,medium_airport,William R Fairchild International Airport,no
CLR,small_airport,Cliff Hatfield Memorial Airport,no
CLS,small_airport,Chehalis Centralia Airport,no
CLT,large_airport,Charlotte Douglas International Airport,yes
CLW,small_airport,Clearwater Air Park,no
CMH,large_airport,John Glenn Columbus International Airport,yes
CMI,medium_airport,University of Illinois Willard Airport,yes
CMX,medium_airport,Houghton County Memorial Airport,yes
CMY,small_airport,Sparta Fort McCoy Airport,no
KCN,seaplane_base,Chernofski Harbor Seaplane Base,no
CNH,small_airport,Claremont Municipal Airport,no
CNK,small_airport,Blosser Municipal Airport,no
CNM,medium_airport,Cavern City Air Terminal,yes
CNO,small_airport,Chino Airport,no
CNU,medium_airport,Chanute Martin Johnson Airport,no
CNW,small_airport,TSTC Waco Airport,no
CNY,medium_airport,Canyonlands Regional Airport,yes
COD,medium_airport,Yellowstone Regional Airport,yes
COE,medium_airport,Coeur D'Alene Airport - Pappy Boyington Field,no
COF,medium_airport,Patrick Space Force Base,no
COI,small_airport,Merritt Island Airport,no
COM,small_airport,Coleman Municipal Airport,no
CON,medium_airport,Concord Municipal Airport,no
COS,medium_airport,City of Colorado Springs Municipal Airport,yes
COT,small_airport,Cotulla-La Salle County Airport,no
COU,medium_airport,Columbia Regional Airport,yes
CPM,small_airport,Compton Woodley Airport,no
CPR,medium_airport,Casper-Natrona County International Airport,yes
CPS,small_airport,St Louis Downtown Airport,no
HCW,small_airport,Cheraw Municipal Airport/Lynch Bellinger Field,no
KCR,small_airport,Colorado Creek Airport,no
CRE,medium_airport,Grand Strand Airport,no
CRG,medium_airport,Jacksonville Executive at Craig Airport,no
CRP,medium_airport,Corpus Christi International Airport,yes
CLD,medium_airport,McClellan-Palomar Airport,yes
CRS,small_airport,C David Campbell Field Corsicana Municipal Airport,no
CRT,small_airport,Z M Jack Stell Field,no
CRW,medium_airport,Yeager Airport,yes
CRX,small_airport,Roscoe Turner Airport,no
CSG,medium_airport,Columbus Metropolitan Airport,yes
CSM,small_airport,Clinton Sherman Airport,no
CSQ,small_airport,Creston Municipal Airport,no
CSV,medium_airport,Crossville Memorial Airport Whitson Field,no
CTB,medium_airport,Cut Bank International Airport,no
CTY,small_airport,Cross City Airport,no
CTZ,small_airport,Sampson County Airport,no
CUB,medium_airport,Jim Hamilton L.B. Owens Airport,no
CUH,small_airport,Cushing Municipal Airport,no
CVG,large_airport,Cincinnati Northern Kentucky International Airport,yes
HLI,small_airport,Hollister Municipal Airport,no
CKK,small_airport,Sharp County Regional Airport,no
CVN,medium_airport,Clovis Municipal Airport,yes
CVO,medium_airport,Corvallis Municipal Airport,no
CVS,medium_airport,Cannon Air Force Base,no
CWA,medium_airport,Central Wisconsin Airport,yes
KIP,small_airport,Kickapoo Downtown Airport,no
CWF,small_airport,Chennault International Airport,no
CWI,small_airport,Clinton Municipal Airport,no
CXL,small_airport,Calexico International Airport,no
CXO,medium_airport,Conroe-North Houston Regional Airport,no
CSN,small_airport,Carson Airport,no
HAR,small_airport,Capital City Airport,no
CYS,medium_airport,Cheyenne Regional Jerry Olson Field,yes
CZK,small_airport,Cascade Locks State Airport,no
CZT,small_airport,Dimmit County Airport,no
VEX,small_airport,Tioga Municipal Airport,no
DAA,medium_airport,Davison Army Air Field,no
DAB,medium_airport,Daytona Beach International Airport,yes
DAG,medium_airport,Barstow Daggett Airport,no
DAL,medium_airport,Dallas Love Field,yes
DAN,medium_airport,Danville Regional Airport,no
DAY,medium_airport,James M Cox Dayton International Airport,yes
DBN,small_airport,W H 'Bud' Barron Airport,no
DBQ,medium_airport,Dubuque Regional Airport,yes
DCA,large_airport,Ronald Reagan Washington National Airport,yes
DCU,small_airport,Pryor Field Regional Airport,no
DDC,medium_airport,Dodge City Regional Airport,yes
DEC,medium_airport,Decatur Airport,yes
DEH,small_airport,Decorah Municipal Airport,no
DEN,large_airport,Denver International Airport,yes
DET,medium_airport,Coleman A. Young Municipal Airport,no
DFI,small_airport,Defiance Memorial Airport,no
DFW,large_airport,Dallas Fort Worth International Airport,yes
DGL,small_airport,Douglas Municipal Airport,no
DGW,small_airport,Converse County Airport,no
DHN,medium_airport,Dothan Regional Airport,yes
DHT,medium_airport,Dalhart Municipal Airport,no
DIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,yes
DKK,small_airport,Chautauqua County-Dunkirk Airport,no
DLL,small_airport,Dillon County Airport,no
DLF,medium_airport,Laughlin Air Force Base,no
DLH,medium_airport,Duluth International Airport,yes
DLN,small_airport,Dillon Airport,no
DLS,medium_airport,Columbia Gorge Regional Airport,no
DMA,medium_airport,Davis Monthan Air Force Base,no
DMN,medium_airport,Deming Municipal Airport,no
DMO,small_airport,Sedalia Memorial Airport,no
DNL,medium_airport,Daniel Field,no
DNN,small_airport,Dalton Municipal Airport,no
DNS,small_airport,Denison Municipal Airport,no
DNV,small_airport,Vermilion Regional Airport,no
DOV,medium_airport,Dover Air Force Base,no
DPA,medium_airport,Dupage Airport,no
DPG,small_airport,Michael AAF (Dugway Proving Ground) Airport,no
DRA,medium_airport,Desert Rock Airport,no
DRI,medium_airport,Beauregard Regional Airport,no
DRE,small_airport,Drummond Island Airport,no
DRO,medium_airport,Durango La Plata County Airport,yes
DRT,medium_airport,Del Rio International Airport,no
KDS,small_airport,Kamaran Downs Airport,no
DSM,medium_airport,Des Moines International Airport,yes
DSV,small_airport,Dansville Municipal Airport,no
DTA,small_airport,Delta Municipal Airport,no
DTL,small_airport,Detroit Lakes Airport,no
DTN,small_airport,Shreveport Downtown Airport,no
DSI,medium_airport,Destin Executive Airport,yes
DTW,large_airport,Detroit Metropolitan Wayne County Airport,yes
DUA,medium_airport,Durant Regional Airport - Eaker Field,no
DUC,small_airport,Halliburton Field,no
DUG,medium_airport,Bisbee Douglas International Airport,no
DUJ,medium_airport,DuBois Regional Airport,yes
DVL,medium_airport,Devils Lake Regional Airport,yes
DVN,small_airport,Davenport Municipal Airport,no
NOT,small_airport,Marin County Airport - Gnoss Field,no
NSL,small_airport,Slayton Municipal Airport,no
DVT,small_airport,Phoenix Deer Valley Airport,no
KDW,seaplane_base,Victoria Reservoir Seaplane Base,no
DWH,small_airport,David Wayne Hooks Memorial Airport,no
DXR,medium_airport,Danbury Municipal Airport,no
DYL,small_airport,Doylestown Airport,no
DYS,medium_airport,Dyess Air Force Base,no
KDZ,seaplane_base,Polgolla Reservoir Seaplane Base,yes
LBN,small_airport,Lake Baringo (Kampi Ya Samaki) Airport,no
VPG,small_airport,Vipingo Estate Airport,no
KTJ,small_airport,Kichwa Tembo Airport,no
OSJ,small_airport,Ol Seki Airstrip,no
OLG,small_airport,Olare Orok Airfield,no
HKR,small_airport,Mara North Conservancy Airstrip,no
ANA,small_airport,Angama Airport,no
MDR,small_airport,Musiara Airstrip,no
OLX,small_airport,Olkiombo Airport,no
KRV,small_airport,Kerio Valley Airport,no
KIU,small_airport,Kiunga Airport,no
LBK,small_airport,Liboi Airport,no
LKU,small_airport,Lake Rudolf Airport,no
MIF,small_airport,Roy Hurd Memorial Airport,no
CCG,small_airport,Crane County Airport,no
ESO,small_airport,Ohkay Owingeh Airport,no
WTR,small_airport,Whiteriver Airport,no
ALE,small_airport,Alpine Casparis Municipal Airport,no
BGT,small_airport,Bagdad Airport,no
EAN,small_airport,Phifer Airfield,no
EAR,medium_airport,Kearney Regional Airport,yes
EAT,medium_airport,Pangborn Memorial Airport,yes
EAU,medium_airport,Chippewa Valley Regional Airport,yes
KEB,small_airport,Nanwalek Airport,yes
EBS,small_airport,Webster City Municipal Airport,no
ECG,medium_airport,Elizabeth City Regional Airport & Coast Guard Air Station,no
ECP,medium_airport,Northwest Florida Beaches International Airport,yes
ECS,small_airport,Mondell Field,no
EDE,small_airport,Northeastern Regional Airport,no
ETS,small_airport,Enterprise Municipal Airport,no
EDW,medium_airport,Edwards Air Force Base,no
EED,medium_airport,Needles Airport,no
EEN,medium_airport,Dillant Hopkins Airport,no
EFD,medium_airport,Ellington Airport,no
EFK,small_airport,Northeast Kingdom International Airport,no
EFW,small_airport,Jefferson Municipal Airport,no
EGE,medium_airport,Eagle County Regional Airport,yes
EGI,medium_airport,Duke Field,no
EGV,small_airport,Eagle River Union Airport,no
KEK,small_airport,Ekwok Airport,no
EKA,medium_airport,Murray Field,no
EKI,small_airport,Elkhart Municipal Airport,no
EKN,medium_airport,Elkins-Randolph County Regional Airport,no
EKO,medium_airport,Elko Regional Airport,yes
EKX,small_airport,Addington Field / Elizabethtown Regional Airport,no
ELA,small_airport,Eagle Lake Airport,no
ELD,medium_airport,South Arkansas Regional Airport at Goodwin Field,yes
ELK,small_airport,Elk City Regional Business Airport,no
ELM,medium_airport,Elmira Corning Regional Airport,yes
ELN,small_airport,Bowers Field,no
LYU,medium_airport,Ely Municipal Airport,no
ELP,medium_airport,El Paso International Airport,yes
ELY,medium_airport,Ely Airport Yelland Field,no
ELZ,small_airport,Wellsville Municipal Airport - Tarantine Field,no
EMM,small_airport,Kemmerer Municipal Airport,no
EMP,small_airport,Emporia Municipal Airport,no
EMT,small_airport,San Gabriel Valley Airport,no
END,medium_airport,Vance Air Force Base,no
ENL,small_airport,Centralia Municipal Airport,no
ENV,medium_airport,Wendover Airport,no
ENW,medium_airport,Kenosha Regional Airport,no
EOK,small_airport,Keokuk Municipal Airport,no
EOS,small_airport,Neosho Hugh Robinson Airport,no
EPH,small_airport,Ephrata Municipal Airport,no
EDK,small_airport,Captain Jack Thomas El Dorado Airport,no
ERI,medium_airport,Erie International Tom Ridge Field,yes
ERR,small_airport,Errol Airport,no
ERV,small_airport,Kerrville / Kerr County Airport at Louis Schreiner Field,no
ESC,medium_airport,Delta County Airport,yes
ESF,medium_airport,Esler Army Airfield / Esler Regional Airport,no
ESN,small_airport,Easton Airport / Newnam Field,no
EST,small_airport,Estherville Municipal Airport,no
ESW,small_airport,Easton State Airport,no
ETB,small_airport,West Bend Municipal Airport,no
ETN,small_airport,Eastland Municipal Airport,no
EUF,small_airport,Weedon Field,no
EUG,medium_airport,Mahlon Sweet Field,yes
EVM,small_airport,Eveleth–Virginia Municipal Airport,no
EVV,medium_airport,Evansville Regional Airport,yes
EVW,medium_airport,Evanston-Uinta County Airport-Burns Field,no
EWB,medium_airport,New Bedford Regional Airport,yes
EWK,small_airport,Newton City-County Airport,no
EWN,medium_airport,Coastal Carolina Regional Airport,yes
EWR,large_airport,Newark Liberty International Airport,yes
EYW,medium_airport,Key West International Airport,yes
KEZ,seaplane_base,Kelani-Peliyagoda Seaplane Base,no
WIB,small_airport,Wilbarger County Airport,no
RBK,small_airport,French Valley Airport,no
FAF,medium_airport,Felker Army Air Field,no
FAM,small_airport,Farmington Regional Airport,no
FAR,medium_airport,Hector International Airport,yes
FAT,medium_airport,Fresno Yosemite International Airport,yes
FAY,medium_airport,Fayetteville Regional Airport - Grannis Field,yes
FBG,medium_airport,Simmons Army Air Field,no
FBL,small_airport,Faribault Municipal Airport-Liz Wall Strohfus Field,no
FBR,small_airport,Fort Bridger Airport,no
FBY,small_airport,Fairbury Municipal Airport,no
FCH,small_airport,Fresno Chandler Executive Airport,no
FCM,small_airport,Flying Cloud Airport,no
FCS,medium_airport,Butts AAF (Fort Carson) Air Field,no
FCY,small_airport,Forrest City Municipal Airport,no
FDK,small_airport,Frederick Municipal Airport,no
FDR,small_airport,Frederick Regional Airport,no
FDY,medium_airport,Findlay Airport,no
FEP,small_airport,Albertus Airport,no
FET,small_airport,Fremont Municipal Airport,no
FFA,small_airport,First Flight Airport,no
FFL,small_airport,Fairfield Municipal Airport,no
FFM,small_airport,Fergus Falls Municipal Airport - Einar Mickelson Field,no
FFO,medium_airport,Wright-Patterson Air Force Base,no
FFT,small_airport,Capital City Airport,no
MSC,small_airport,Falcon Field,no
FRD,medium_airport,Friday Harbor Airport,yes
FHU,medium_airport,Sierra Vista Municipal Airport / Libby Army Air Field,no
FKL,medium_airport,Venango Regional Airport,no
FKN,small_airport,Franklin Regional Airport,no
FLD,small_airport,Fond du Lac County Airport,no
FLG,medium_airport,Flagstaff Pulliam International Airport,yes
FLL,large_airport,Fort Lauderdale Hollywood International Airport,yes
FLO,medium_airport,Florence Regional Airport,yes
FLP,small_airport,Marion County Regional Airport,no
FLV,small_airport,Sherman Army Air Field,no
FLX,small_airport,Fallon Municipal Airport,no
FME,medium_airport,Fort Meade Executive Airport,no
FMH,small_airport,Cape Cod Coast Guard Air Station,no
FMN,medium_airport,Four Corners Regional Airport,no
FMY,medium_airport,Page Field,no
FNL,medium_airport,Northern Colorado Regional Airport,no
FNT,medium_airport,Bishop International Airport,yes
FOD,medium_airport,Fort Dodge Regional Airport,yes
FOE,medium_airport,Topeka Regional Airport,no
FOK,small_airport,Francis S Gabreski Airport,no
FIL,small_airport,Fillmore Municipal Airport,no
FPR,medium_airport,Treasure Coast International Airport,no
FRG,medium_airport,Republic Airport,no
